symbol,company_name,sector,fiscal_period,report_date,eps,pe,pb,dividend_yield,revenue,revenue_growth_yoy,revenue_growth_qoq,net_profit,net_profit_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,book_value_per_share,npl_ratio,casa_ratio,source,source_url
BFC,Best Finance Company Limited,Finance,3rd Quarter 2082/2083,2026-04-28,8.8,52.93,4.13,0.0,120489.33,0.0,0.0,58755.96,48.7645,7.81,1.05,6.4237,0.0,0.0,112.72,13.08,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BFC
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31259.34,0.0,0.0,0.0,0.0,15.6919,15.6919,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BGWT
BHCL,Bikash Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50215.78,0.0,0.0,0.0,0.0,3.9919,3.9919,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BHCL
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112045.57,0.0,0.0,0.0,0.0,1.9525,1.9525,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BHDC
BHL,Balephi Hydropower Limited,Hydropower,2nd Quarter 2082/2083,2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228148.23,0.0,0.0,0.0,0.0,2.4172,2.4172,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BHL
BHPL,Barahi Hydropower Public Limited,Hydropower,3rd Quarter 2082/2083,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1098.03,0.0,0.0,0.0,0.0,1.4339,1.4339,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BHPL
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20481.43,0.0,0.0,0.0,0.0,0.6263,0.6263,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BNHC
BPCL,Butwal Power Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225380.0,0.0,0.0,0.0,0.0,3.6717,3.6717,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BPCL
BUNGAL,Bungal Hydro Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27739.36,0.0,0.0,0.0,0.0,0.2362,0.2362,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/BUNGAL
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-06,31.85,28.88,3.94,0.0,1642362.83,0.0,0.0,576096.51,35.0773,13.63,2.1,5.4971,0.0,0.0,233.66,2.45,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CBBL
CFCL,Central Finance Limited,Finance,3rd Quarter 2082/2083,2026-04-28,5.19,101.74,4.61,0.0,181458.01,0.0,0.0,36938.26,20.3564,4.53,0.5,8.1457,0.0,0.0,114.62,14.17,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CFCL
CHCL,Chilime Hydro power Company Limited,Hydropower,3rd Quarter 2082/2083,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456995.1,0.0,0.0,0.0,0.0,22.0086,22.0086,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CHCL
CHL,Chhyangdi Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23323.76,0.0,0.0,0.0,0.0,3.02,3.02,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CHL
CITY,City Hotel Limited,Hotel & Tourism,2nd Quarter 2082/2083,2026-02-09,0.0,0.0,4.77,0.0,0.0,0.0,0.0,-100938.26,0.0,0.0,0.0,0.0,2.5096,2.5096,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CITY
CKHL,Chirkhwa Hydro Power Limited,Hydropower,2nd Quarter 2082/2083,2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35084.61,0.0,0.0,0.0,0.0,3.02,3.02,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CKHL
CORBL,Corporate Development Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-28,12.26,148.73,13.09,0.0,67936.15,0.0,0.0,48263.02,71.0417,8.8,2.03,3.3381,0.0,0.0,139.27,6.36,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CORBL
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-09,27.99,54.55,5.68,0.0,238049.48,0.0,0.0,37289.69,15.6647,10.42,1.03,9.158,0.0,0.0,268.72,18.48,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CYCL
CZBIL,Citizens Bank International Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-28,11.23,18.71,1.35,0.0,5596216.82,0.0,0.0,1306461.35,23.3454,7.2,0.7,9.2765,0.0,0.0,155.99,6.82,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/CZBIL
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,3rd Quarter 2082/2083,2026-05-06,44.13,19.06,3.96,0.0,1734204.83,0.0,0.0,680132.17,39.2187,20.79,3.13,5.6349,0.0,0.0,212.26,7.52,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DDBL
